product_id,product_name,category,month,month_index,price,stock,featured,daily_demand
p2,Aria Accent Chair,Living Room,-8,0,649.00,28.00,1,3.0696
p4,Cloud Platform Bed,Bedroom,-8,0,1549.00,15.00,1,2.0991
p1,Haven Sectional Sofa,Living Room,-8,0,2199.00,12.00,1,1.5153
p5,Lattice Oak Bookshelf,Storage,-8,0,849.00,20.00,0,2.3924
p8,Marrakesh Wool Rug,Rugs & Textiles,-8,0,479.00,18.00,0,2.7030
p7,Soleil Brass Floor Lamp,Lighting,-8,0,349.00,42.00,0,3.0994
p3,Strata Walnut Dining Table,Dining Room,-8,0,1899.00,8.00,1,1.6134
p6,Studio Writing Desk,Home Office,-8,0,599.00,35.00,0,2.9146
p2,Aria Accent Chair,Living Room,-7,1,649.00,28.00,1,3.1214
p4,Cloud Platform Bed,Bedroom,-7,1,1549.00,15.00,1,2.1535
p1,Haven Sectional Sofa,Living Room,-7,1,2199.00,12.00,1,1.5712
p5,Lattice Oak Bookshelf,Storage,-7,1,849.00,20.00,0,2.4460
p8,Marrakesh Wool Rug,Rugs & Textiles,-7,1,479.00,18.00,0,2.7558
p7,Soleil Brass Floor Lamp,Lighting,-7,1,349.00,42.00,0,3.1511
p3,Strata Walnut Dining Table,Dining Room,-7,1,1899.00,8.00,1,1.6690
p6,Studio Writing Desk,Home Office,-7,1,599.00,35.00,0,2.9669
p2,Aria Accent Chair,Living Room,-6,2,649.00,28.00,1,3.1493
p4,Cloud Platform Bed,Bedroom,-6,2,1549.00,15.00,1,2.1913
p1,Haven Sectional Sofa,Living Room,-6,2,2199.00,12.00,1,1.6151
p5,Lattice Oak Bookshelf,Storage,-6,2,849.00,20.00,0,2.4808
p8,Marrakesh Wool Rug,Rugs & Textiles,-6,2,479.00,18.00,0,2.7875
p7,Soleil Brass Floor Lamp,Lighting,-6,2,349.00,42.00,0,3.1788
p3,Strata Walnut Dining Table,Dining Room,-6,2,1899.00,8.00,1,1.7118
p6,Studio Writing Desk,Home Office,-6,2,599.00,35.00,0,2.9964
p2,Aria Accent Chair,Living Room,-5,3,649.00,28.00,1,3.1747
p4,Cloud Platform Bed,Bedroom,-5,3,1549.00,15.00,1,2.2274
p1,Haven Sectional Sofa,Living Room,-5,3,2199.00,12.00,1,1.6576
p5,Lattice Oak Bookshelf,Storage,-5,3,849.00,20.00,0,2.5137
p8,Marrakesh Wool Rug,Rugs & Textiles,-5,3,479.00,18.00,0,2.8169
p7,Soleil Brass Floor Lamp,Lighting,-5,3,349.00,42.00,0,3.2037
p3,Strata Walnut Dining Table,Dining Room,-5,3,1899.00,8.00,1,1.7533
p6,Studio Writing Desk,Home Office,-5,3,599.00,35.00,0,3.0234
p2,Aria Accent Chair,Living Room,-4,4,649.00,28.00,1,2.9801
p4,Cloud Platform Bed,Bedroom,-4,4,1549.00,15.00,1,2.0374
p1,Haven Sectional Sofa,Living Room,-4,4,2199.00,12.00,1,1.4703
p5,Lattice Oak Bookshelf,Storage,-4,4,849.00,20.00,0,2.3223
p8,Marrakesh Wool Rug,Rugs & Textiles,-4,4,479.00,18.00,0,2.6240
p7,Soleil Brass Floor Lamp,Lighting,-4,4,349.00,42.00,0,3.0090
p3,Strata Walnut Dining Table,Dining Room,-4,4,1899.00,8.00,1,1.5655
p6,Studio Writing Desk,Home Office,-4,4,599.00,35.00,0,2.8296
p2,Aria Accent Chair,Living Room,-3,5,649.00,28.00,1,3.0636
p4,Cloud Platform Bed,Bedroom,-3,5,1549.00,15.00,1,2.1136
p1,Haven Sectional Sofa,Living Room,-3,5,2199.00,12.00,1,1.5421
p5,Lattice Oak Bookshelf,Storage,-3,5,849.00,20.00,0,2.4006
